id,tweet,label
1253,"Amid the WHO's threatening updates, Big tech-Biotech-Big pharma politics, and the news of promising vaccines, #Coronil is the only hope. Naman to Shri @yogrishiramdev 🙏 https://t.co/7TDRuHHU6b",fake
5048,Our daily update is published. States reported 763k tests and 62k new cases. This is a considerable jump from mid-week which is not typical and may reflect a return to more normal reporting after the east coast weather problems. The death toll was 1333. https://t.co/HpR963c9nQ,real
3393,RT @acmadotgov: During #COVID19 false information about the virus is circulating online. You can take steps to protect yourself by: • Che…,fake
4362,"🗣️ Want to get the team together? We have COVID-safe meeting rooms and plenty of #coworking space, free WiFi and coffee. Conveniently located off the M40 in #bicester, close to train, road and bus links https://t.co/MEsNAXYVFW https://t.co/60l0c1eG4V",fake
1533,"@yatezy84 @Munchbunch87 @Dr_Ellie Well consider the bio-engineered virus is a flu virus. If you had the flu you would be poleaxed for around two weeks, not being able to get out of bed.

C-19 is no more powerful than a bad flu and for you to test positive for Covid material suggests a false positive.",fake
4192,Bill Gates wrote a letter that says coronavirus has a “spiritual purpose” and is “a great corrector”.,fake
998,Indian ayurvedic pharmaceutical Patanjali claimed that the ayurvedic ministry had now approved the sale of the COVID-19 ayurvedic medicine coronil produced by the company,fake
1771,A Woman is Making Covid-19 Masks out of Her Panties https://t.co/ZbjMzgxDjh #coronavirus #ebay #panties #coronavirusmasks #fleamarkets,fake
1992,"@Vic_Rollison @SwannyQLD The Age newspaper has reported that ""patient zero"" in Victoria's second wave of coronavirus was a night duty manager at Melbourne's Rydges on Swanston hotel, https://t.co/CaZgWWBqPw",fake
4482,Hospitalizations continue to rise. We recorded 6136 up from 4468 yesterday. Note: We are seeking guidance from states on how to interpret their hospitalization data. It's not always clear whether states mean how many people are hospitalized NOW or cumulatively.,real
6039,From the article: “This virus is here to stay” said Sarah Cobey an epidemiologist and evolutionary biologist at the University of Chicago. “The question is how do we live with it safely?”,real
1277,#IndiaFightsCorona: Benefits to healthcare workers- Pradhan Mantri Garib Kalyan Package An additional incentive of Rs. 1000/- per month is being paid to #ASHAs in view of their significant contribution towards #COVID19 pandemic related work. Details : https://t.co/C5YUBgusd7 https://t.co/l2kMm0YreL,real
1537,Small data entry issue with our Maryland numbers. Stand by for a quick fix to the API.,real
4382,By the 1st week of Feb we began shipping tests to over 150 labs around the 🌍 which enabled the countries to quickly identify track &amp; trace #COVID19-@DrTedros,real
635,As we fight the coronavirus pandemic it is also important to fight the infodemic. Do you know fake news and misinformation can bring disharmony to society? Verify before sharing and don't forget to tell the receiver #MainBhiNewschecker https://t.co/geNbF1EVLc,fake
1678,📢#CoronaVirusUpdates: ✅India's #COVID19 recovery rate improves to 77.77% as on September 09 2020 📍Steady improvement in India's COVID-19 recovery rate since #lockdown initiation on March 25 2020 #IndiaFightsCorona @ICMRDELHI Via @MoHFW_INDIA https://t.co/QoKKnYp6PZ,real
5798,"$3 trillion for federal coronavirus stimulus packages is ""being borrowed basically from China.""",fake
2157,Yesterday our laboratories processed 3289 tests bringing the total number of tests completed to date to 490232. There were 720 swabs taken in managed isolation and quarantine facilities yesterday. Thanks to everyone who has come forward to be tested.,real
5234,"NBA: Drug Testing, Groupies, and the Bubble https://t.co/m7wLjkWsFg #drugs #coronavirus #nba #groupies #orlando",fake
5710,"We’re in the middle of a global pandemic, and the Trump Administration is preventing people from getting health care.

I can’t believe this needs to be said, but President Trump needs to reopen Obamacare enrollment, and he needs to do it now. Lives are at stake. https://t.co/84LANkB4AL",fake
71,RT @Surgeon_General: #DYK: #Handwashing remains one of the best ways to prevent the spread of viruses like #COVID19. Here are 5️⃣ things to…,real
5538,Government of an Indian state Madhya Pradesh ordered shoot-at-sight to enforce lockdown.,fake
6080,"Sign outside the Bill & Melinda Gates Foundation says ""Center for Global Human Population Reduction.""",fake
4408,for cure.. Review of @ICMRDELHI Lab Surveillance Data indicated that after initial #RTPCR positive results #COVID19 cases became negative after a median duration of 10 days. Recent studies also suggested that viral load peaks in the pre-symptomatic period (2 days before).. (2/4),real
3794,So we could expect a substantial portion of infections to result in hospitalizations after only a few days. Thanks for your question @lolageek!,real
5247,States reported ~23.5k cases today. The 7-day average is now at its highest point since May 24. One important caveat from Texas: 1500 of these cases are older data that local health authorities had not previously reported. https://t.co/Q8bADZ9q3P,real
5762,???More people have died from knowing Hillary??� than coronavirus.,fake
4955,NEW: You may have noticed there are new settings on your phone for tracking COVID-19. What’s that all about? Not an unauthorized surveillance plot as one popular social media rumor suggests. https://t.co/C2yTwOK7It https://t.co/nFa5yuxABy,fake
1378,Clinicians must be keenly aware of thrombosis related to COVID-19. https://t.co/GnMFBSgwUE #WTD20,real
2287,#CoronaVirusUpdates: #COVID19 testing status update: @ICMRDELHI stated that 52934433 samples tested upto September 9 2020 1129756 sample tested on September 9 2020 #StaySafe #IndiaWillWin https://t.co/iF5PcoXD5l,real
2309,Mother infected with COVID-19 should follow hygiene practices related to COVID-19 before and while breastfeeding her baby to keep the baby safe and healthy. #WorldBreastfeedingWeek #SwasthaBharat #HealthForAll https://t.co/NVb8sipPwg,real
4139,"@lsunder1 @Dharmen46587056 Preventive measures to prevent Covid. HCQ - hydroquinone is a popular (controversial) prophylactic medicine. 

In homeopathy, they say Arsenicum Album is one. 

Many kadhas are being downed by people as a prophylactic measure.",fake
3900,_A video has been viewed hundreds of thousands of times on Facebook Twitter and YouTube alongside a claim that it shows a drone launching fireworks at people who breached a curfew in Malaysia during a nationwide coronavirus lockdown._,fake
1217,The number of patients currently hospitalized with COVID-19 has fallen 35% from the peak on July 24. https://t.co/iPuomIeXVU,real
1698,Says President Donald Trump ???never downplayed the virus.??�,fake
6141,The very popular #WhatsApp advisory allegedly from @tatahealth about #homeMade #COVID19 is #FakeNews . We #FactCheck https://t.co/ckTmgyIE6d,fake
3008,New forecasts show the US will likely report more #COVID19 deaths in the next 4 weeks than in the previous 4 weeks. This includes an increase in deaths in 25 states &amp; 1 US territory. Between 160000 &amp; 175000 total deaths are expected by Aug. 15. See more: https://t.co/Ft6cgmaMPX https://t.co/D5ctNr4xFQ,real
2059,The government has ordered re-opening of schools and colleges.,fake
5073,Kentucky Derby will be run WITHOUT jockeys at Churchill Downs race track on September 5 as COVID-1� https://t.co/tgcj819wpU #kentuckyderby,fake
1796,Just over 200 close contacts had been identified most of whom are from two work places: Americold Mt Wellington and the Dominion Road branch of Finance Now. Just over 100 of them had been contacted so far.⠀ ⠀,real
4980,• 700 were for businesses 250 related to mass gatherings​ • Complaints related to retail businesses not having contact tracing but retail businesses are not required customers but they must contact trace workers,real
4070,"A video shows a group of doctors calling itself ""Doctors for the truth"" defend and justify claims that masks don't work lockdowns won't stop the virus and the flu vaccine spread SARS-CoV2.",fake
3916,The UK recorded 20 deaths of people with confirmed cases of #COVID19 today according to government figures https://t.co/m6BtoiS9Je,real
3423,188 new cases of #COVID19Nigeria; Lagos-47 Enugu-25 Plateau-21 FCT-14 Abia-11 Delta-10 Bauchi-8 Ondo-8 Kaduna-8 Ogun-6 Imo-5 Benue-4 Katsina-4 Taraba-4 Edo-3 Kwara-3 Oyo-3 Rivers-2 Yobe-2 56017 confirmed 43998 discharged 1076 deaths https://t.co/Kn0uTVil9j,real
412,An Instagram post is claiming Covid-19 tests tainted with coronavirus have been in circulation for “many months”.,fake
1013,We are pleased to announce the inclusion of the 26th lab to the national #COVID19 Laboratory Network: Accunalysis Diagnostic Centre Anambra In progress: Katsina Kwara &amp; Gombe Read our FAQs on #COVID19 Diagnostics https://t.co/mpzeLuSwx5 #TakeResponsibility https://t.co/b3pMa4dNbn,real
4988,RT @MoHFW_INDIA: #IndiaFightsCorona India's #COVID Recoveries have witnessed a steep exponential rise - from 50000 in May to over 36 lakh…,real
4243,RT @NIOSH: Workplaces can present unique challenges for #COVID19 public health investigations. @CDCgov created a toolkit to help state and…,real
5143,"Mere pass shab nahi hai 😐😐😐

Seriously this is more dangerous virus the fake Azadi the the coronavirus. 

https://t.co/8UhSjJXrXP",fake
1980,@ESMO expert warns about continued widespread disruptions in cancer care due to COVID. https://t.co/zm2lV0hGkZ,real
357,Brazil’s #coronavirus crisis is out of control. https://t.co/01ODoDGGyq https://t.co/O1kzbfpREW,real
4792,RT @CDCemergency: Help prevent the spread of #COVID19. Avoid close contact with people who are sick wash hands often for at least 20 secon…,real
3128,#IndiaFightsCorona #CoronaVirusUpdate India sees an unprecedented surge in #COVID19 Recoveries. Nearly 75000 recoveries in last 24 hours. Total number of Recovered Cases nearly 34 lakh. https://t.co/FGhITzdhO4,real
2811,#IndiaFightsCorona The gap between %Recovered Cases and %Active Cases progressively growing wide. More than 3/4 of total cases (more than 36L) recovered &amp; discharged. Active Cases (less than 10.5L) only a small proportion (less than 1/4) of total cases. https://t.co/wWAGHIlPsO,real
932,Chancellor Angela Merkel knew of the pandemic since 2013; the virus is from a laboratory.,fake
1996,States reported just under 1000 deaths not far from the 7-day average. Our data set shows over 101 thousand deaths reported by states not including 5783 probable and confirmed COVID deaths reported by NYC but not (yet) by NY state. https://t.co/UcyaqRRq2M,real
2467,A woman drowned her children as she could not provide them food during the lockdown in India.,fake
5259,Our daily update is published. States reported 769k tests 64k new cases and 523 deaths. Hospitalizations fell a little but there’s a major caveat there: The decline is due to strange data from Alabama. https://t.co/vlnciB4q18,real
1692,• We now have 1411 people reported as having recovered from COVID-19 an increase of 9 on yesterday. This is 94% of all cases.⁣ ⁣ • Today there are two people receiving hospital level care for COVID-19 – one each in Auckland and Middlemore hospitals. Neither are in ICU.⁣,real
1993,RT @CDCtravel: Travel increases your chances of getting and spreading #COVID19. CDC advises against nonessential international travel. If y…,real
148,RT @CDCEnvironment: DO NOT use bleach solutions or other disinfecting products on food. Currently no cases of #COVID19 have been identifie…,real
3424,😷 More evidence that universal masking is critically important to slow the spread of the virus. https://t.co/g0mi6wr79P #covid19,real
4521,WHO announced that Alcohol doesn't kill the corona virus.,fake
4304,.@realDonaldTrump has blamed past administrations for a flawed coronavirus test. But the test couldn’t have existed before the new virus emerged: https://t.co/aKgVq6pbCI https://t.co/WoY4XptesH,fake
3649,"YOU WILL REFER TO IT AS
COVID-19 

Chinese
Originated
Viral
Infectious
Disease
-
19",fake
3139,According to a Greek journalist COVID-19 is not a pandemic since the dead count has only been 300000 people and the WHO was defrauded by a private company to impose social distancing measures.,fake
4944,Piltdown President Says Virus Will Go Away https://t.co/RzRktiNhsS,fake
4998,Japanese Nobel laureate Tasuku Honjo who worked in Wuhan for four years claimed that SARS-CoV-2 was human-made.,fake
3203,NEW: In a recent press conference President @realDonaldTrump oversold credit due the White House for a falling coronavirus fatality statistic. https://t.co/45QDvsDAuh https://t.co/rNtngmiKWD,fake
4411,As at 6:00 pm 17th April 2020 7153 samples have been tested for #COVID19 in Nigeria We are working very hard to increase the number of samples tested including community surveillance in the FCT and Lagos Read our strategy here https://t.co/eckw6GeMJf #TakeResponsibility https://t.co/Vrey6mXgGI,real
3156,We're still debunking misinformation about coronavirus. Why? Because hoaxes travel fast and the numbers and causes of the pandemic need clarification. https://t.co/LqLfuMWMvU https://t.co/zWTfMuU2xn,fake
6413,Amitabh Bachchan visited Haji Ali Dargah after recovering from COVID-19,fake
4529,There is no one in New Zealand receiving hospital-level care for COVID-19.​ The total number of confirmed cases of COVID-19 remains at 1206 which is the number we report to the World Health Organization.,real
3560,No clear increase in #COVID19 cases hospitalizations or deaths after the April 7 election in Milwaukee suggesting possible benefit of state efforts to expand absentee and curbside voting and other safety efforts by @MKEhealth and @DHSWI. Read @CDCMMWR: https://t.co/6yJdzuOdbI. https://t.co/NLi5RvUV6p,real
5039,There are two cases considered to have recovered from COVID-19 which brings the total number of active cases to 24.,real
4826,"""@Perchbicester"" 🗣️ Want to get the team together? We have COVID-safe meeting rooms and plenty of #coworking space, free WiFi and coffee. Conveniently located off the M40 in #bicester, close to train, road and bus links https://t.co/O5dPcZVeFU https://t.co/s1WaW2iD1u",fake
1711,A viral video showcasing an emergency treatment of a COVID-19 patient in Maharashtra an Indian State. The video is shared in the names of different cities of Maharashtra.,fake
5228,“Germany and the United States are the two best in deaths per 100000 people which frankly to me that's perhaps the most important number there is.”,fake
329,Coronavirus: North Yorkshire goes into 'full emergency mode' due to rise in cases https://t.co/fqEZaxa3P2,real
3811,There is a Nipah Virus outbreak in India amidst coronavirus pandemic according to a warning form the WHO.,fake
2212,South Dakota began reporting race &amp; ethnicity data today. In a 90% white state almost 70% of cases are people of color because of meatpacking outbreaks. Of the 3 states still not reporting any of this data -- NE ND NV -- Nebraska especially may have similar dynamics. https://t.co/ox1kC9bIb1,real
1896,RT @drharshvardhan: #COVID UPDATE In its fight against COVID-19 since January 2020 India has crossed another peak. The cumulative tests h…,real
1250,RT @icmrnirrh: #COVID19 #Pandemic increases the risk of perinatal anxiety depression &amp; #DomesticViolence It is critically important that s…,real
4793,Says Democratic leaders aren???t wearing masks or social distancing in private,fake
5303,Note: we cannot capture all negative or pending tests because of the way that states report. Consider our number a lower bound. See this thread: https://t.co/ig8ZbI9p7b,real
1467,The latest update from the Prime Minister and Director-General of Health:⁣ ⁣ • Today we are reporting no new confirmed cases of COVID-19.⁣ ⁣ • Today’s combined total of confirmed and probable COVID-19 cases remains at 1497.⁣ https://t.co/Q3EYltAA8u,real
3544,You might come in contact with infected people with no symptoms. It is important to maintain physical distancing and avoid large gatherings because you may not know who may have #COVID19. #TakeResponsibility to keep yourself and your loved ones safe. https://t.co/sc39TJE5Xr,real
692,Authorities from the Guatemalan Ministry of Health said they would buy at least 200 respirators but there has been talk of a shortage of this type of medical equipment.,fake
2029,Camila Cabello’s Coronavirus Advice On Instagram Is Something We All Should Keep In Mind https://t.co/RAiPIKPyRr,fake
3798,Every Indian citizen to get Rs.5000 as COVID-19 relief by clicking on this link given in the viral Whatsapp message.,fake
3671,#IndiaFightsCorona Health Secretary reviews #COVID19 Management Strategies in 8 NE States. States exhorted to actively break Transmission Chain. https://t.co/wrf7I49rIG @PMOIndia @drharshvardhan @AshwiniKChoubey @PIB_India @DDNewslive @airnewsalerts @CovidIndiaSeva @mygovindia,real
4039,"@chitraaum Coronil ke bad v unki death ho gyi...so sad RIP 
Common people ke bare me govt se pucho propaganda godi media
91000 logo ki av tak death ho chuki h.kon resposible h?..propaganda godi media ke according to lagta h jamaat gathering hi hoga.baki gathering to corona bhagane me lage h",fake
2876,The total number of confirmed cases of COVID-19 is now 1199 which is the number we report to the World Health Organization.​ ​ There is no one in New Zealand receiving hospital-level care for COVID-19.,real
4929,#CoronaVirusUpdates: #COVID19 testing status update: @ICMRDELHI stated that 42307914 samples tested upto August 31 2020 846278 sample tested on August 31 2020 #StaySafe #IndiaWillWin https://t.co/RWfMgKnU3h,real
6198,Multiple posts on Facebook and Twitter claim the WHO has warned against eating cabbage during the novel coronavirus pandemic.,fake
6278,Democratic congrasswoman Ilhan Omar tweeted that there have been more deaths due to COVID-19 than 9/11 and the wars in Vietnam Iraq and Afghanistan combined,fake
4871,RT @CDCemergency: It’s natural to experience many emotions during #COVID19. Getting help can assist you in finding ways to cope with these…,real
5686,According to a WHO report not a single vegetarian person in the world has been found to suffer from coronavirus.,fake
3538,Today’s first case is the young child of the couple announced yesterday as cases who have recently arrived from India. We are pleased to report that all family members are doing well at the Jet Park Hotel the quarantine facility in Auckland. The child is under two years old.⁣,real
1708,We are pleased to announce the inclusion of 2 new GeneXpert labs in Taraba State to the NCDC Molecular Laboratory Network 🧪Taraba State Specialist Hospital Jalingo 🧪General Hospital Takum This brings the number of labs with #COVID19 testing capacity in our lab network to 68 https://t.co/ePGRRW5A9D,real
4560,RT @MoHFW_INDIA: Many States/UTs have performed better with more encouraging figures than the national average for Recovery Rate and Fatali…,real
2780,???Governor Gretchen Whitmer spent the past weekend at her VACATION COTTAGE at Birch Lake. Violating her own EXECUTIVE ORDER.??�,fake
6069,If this #pandemic doesn’t create significant change in the #NursingHome industry nothing ever will. https://t.co/fmLY3UoEsE https://t.co/6vVm4iGwcL,real
817,If Kentucky continues to #StayAtHome hospitals should not become overloaded. However if distancing is relaxed there is a potential for over 43k hospitalizations - overwhelming the system by May 8. Learn more at https://t.co/dSHohTT1cI https://t.co/tYwAICOLrI,real
2031,People are handing out masks ???doused with chemicals which knocks you out cold??� so they can rob you.,fake
4832,School administrators: CDC has provided benchmarks to help you prepare plan and respond to #COVID19. Monitor these frequently and adjust strategies to fit the changing levels of COVID-19 in your community. Learn more: https://t.co/Wytp7O8Wgx. https://t.co/cKhwlJi1wU,real
1542,Images showing vaccines for coronavirus have already been discovered were patented and will be readily available.,fake
3142,COVID-19 TEST a FRAUD?,fake
6303,RT @dpfunke: Over the weekend President Trump retweeted two posts that misconstrue CDC data about COVID-19 deaths. I wrote about why they'…,fake
4363,RT @CDCemergency: Does wearing a mask mean you don’t have to practice social distancing? The answer is no. Wearing a mask while in public A…,real
2606,"NEWS! I had the lockdown haircut before it was cool, confirms Boris https://t.co/vHhGwMeMhQ https://t.co/goWyTzsp0O",fake
1900,In 2019 the world’s children had a better chance of surviving to age 5 than ever before. Now progress could be lost as #COVID19 disrupts health checks and immunizations for children in 68% of surveyed countries. We're calling for swift action to save children's lives. https://t.co/Dn2rz5c63k,real
3177,220 new cases of #COVID19; 62-Lagos 52-FCT 31-Kaduna 13-Sokoto 10-Kebbi 9-Yobe 6-Borno 5-Edo 5-Bauchi 4-Gombe 4-Enugu 4-Oyo 3-Zamfara 2-Nasarawa 2-Osun 2-Ebonyi 2-Kwara 2-Kano 2-Plateau 2388 confirmed cases of #COVID19 in Nigeria Discharged: 385 Deaths: 85 https://t.co/06ZsNqpWU8,real
5576,"We have to ensure every worker called back on the job has access to regular, reliable COVID-19 testing and effective personal protective equipment. https://t.co/lDPQP3jZkw",fake
4799,Coronavirus testing kits heading to the UK found to be contaminated with Covid-19 | London Evening Standard https://t.co/6mlFx9b2cp,fake
2978,Coronavirus is actually an expanded exosome caused by 5G.,fake
2586,"Traces of the Coronavirus Are Found at AT&amp;T Stadium, Home of the Dallas Cowboys https://t.co/HxRGVq8Njn #coronavirus #dallascowboys",fake
3764,Aled Jones reveals he prayed to God to show mercy on the UK during the coronavirus crisis but it didn’t work https://t.co/LNbbDu1JOL,fake
1494,The hospitalization rates for #COVID19 in older people right now are similar to what is typically seen during a high severity flu season. Learn more: https://t.co/zP4VYlo0Pb.,real
4343,#DYK it’s not safe to put a mask on your pet? While pets can get #COVID19 from people the risk of pets spreading COVID-19 is low. Instead protect your pet by limiting their contact with sick people and people outside the household. https://t.co/31W7I6cuXo https://t.co/TARWZxiVXm,real
1408,Globally there are now more than 22 million reported cases of #COVID19 &amp; 780000 deaths-@DrTedros,real
4734,Cristiano Ronaldo will convert his hotels into coronavirus hospitals.,fake
1304,"The COVID-19 death toll is exaggerated because ""the state"" has instructed that ""anyone who didnt die by a gun shot wound or car accident"" be listed as a coronavirus victim.",fake
1383,The National Coronavirus Emergency Operations Centre continues coordinate response activities to #COVID19Nigeria including support to @LSMOH &amp; Ogun State Ministry of Health As at 8th March 2 cases of #COVID19 have been confirmed in Nigeria Updates via https://t.co/rAYX3k0iIV https://t.co/l2rzZcZ2Be,real
